"feature"	"imp_rank_raw"	"imp_rank"	"imp_sign"	"dat"	"seed"	"imp_rank_frac_raw"	"imp_rank_frac"
"4715"	"FQ30yes"	27	25	"Negative"	"infection_patient-kleborate_lr"	"65"	0.355263157894737	0.328947368421053
"4716"	"wziwzi29"	50	23	"Positive"	"infection_patient-kleborate_lr"	"65"	0.657894736842105	0.302631578947368
"4717"	"levo30yes"	55	35	"Positive"	"infection_patient-kleborate_lr"	"65"	0.723684210526316	0.460526315789474
"4718"	"age"	18	39	"Negative"	"infection_patient-kleborate_lr"	"65"	0.236842105263158	0.513157894736842
"4719"	"num_resistance_genes"	23	29	"Negative"	"infection_patient-kleborate_lr"	"65"	0.302631578947368	0.381578947368421
"4720"	"MLS.MphA"	2	72	"Negative"	"infection_patient-kleborate_lr"	"65"	0.0263157894736842	0.947368421052632
"4721"	"Sul.SulI"	35	8	"Negative"	"infection_patient-kleborate_lr"	"65"	0.460526315789474	0.105263157894737
"4722"	"AGly.StrA"	15.5	45.5	"Negative"	"infection_patient-kleborate_lr"	"65"	0.203947368421053	0.598684210526316
"4723"	"AG30yes"	70	64	"Positive"	"infection_patient-kleborate_lr"	"65"	0.921052631578947	0.842105263157895
"4724"	"AGly.Aac3.Iva"	63.5	52.5	"Positive"	"infection_patient-kleborate_lr"	"65"	0.835526315789474	0.690789473684211
"4725"	"O_locus_missing_genes.O1.O2v2_07_kfoC"	74	73	"Positive"	"infection_patient-kleborate_lr"	"65"	0.973684210526316	0.960526315789474
"4726"	"ctx30yes"	54	34	"Positive"	"infection_patient-kleborate_lr"	"65"	0.710526315789474	0.447368421052632
"4727"	"resp_failureyes"	41	1	"Negative"	"infection_patient-kleborate_lr"	"65"	0.539473684210526	0.0131578947368421
"4728"	"foleyyes"	29	21	"Negative"	"infection_patient-kleborate_lr"	"65"	0.381578947368421	0.276315789473684
"4729"	"Tmt.DfrA17"	5.5	66.5	"Negative"	"infection_patient-kleborate_lr"	"65"	0.0723684210526316	0.875
"4730"	"sexmale"	57	41	"Positive"	"infection_patient-kleborate_lr"	"65"	0.75	0.539473684210526
"4731"	"AGly.AadA1.pm"	24	28	"Negative"	"infection_patient-kleborate_lr"	"65"	0.315789473684211	0.368421052631579
"4732"	"wziwzi154"	56	37	"Positive"	"infection_patient-kleborate_lr"	"65"	0.736842105263158	0.486842105263158
"4733"	"underweightyes"	47	14	"Positive"	"infection_patient-kleborate_lr"	"65"	0.618421052631579	0.184210526315789
"4734"	"VDRFyes"	52	30	"Positive"	"infection_patient-kleborate_lr"	"65"	0.684210526315789	0.394736842105263
"4735"	"Bla.SHV.187"	58	42	"Positive"	"infection_patient-kleborate_lr"	"65"	0.763157894736842	0.552631578947368
"4736"	"anti_pseudo30yes"	37	6	"Negative"	"infection_patient-kleborate_lr"	"65"	0.486842105263158	0.0789473684210526
"4737"	"Colibactinclb.3"	67.5	60.5	"Positive"	"infection_patient-kleborate_lr"	"65"	0.888157894736842	0.796052631578947
"4738"	"resistance_score"	44	10	"Positive"	"infection_patient-kleborate_lr"	"65"	0.578947368421053	0.131578947368421
"4739"	"tobra30yes"	32	16	"Negative"	"infection_patient-kleborate_lr"	"65"	0.421052631578947	0.210526315789474
"4740"	"third_gen_ceph30yes"	49	18	"Positive"	"infection_patient-kleborate_lr"	"65"	0.644736842105263	0.236842105263158
"4741"	"Yersiniabactin.ybt_17"	34	12	"Negative"	"infection_patient-kleborate_lr"	"65"	0.447368421052632	0.157894736842105
"4742"	"Phe.CatA1"	11	54	"Negative"	"infection_patient-kleborate_lr"	"65"	0.144736842105263	0.710526315789474
"4743"	"Yersiniabactin.ybt_0"	72	68	"Positive"	"infection_patient-kleborate_lr"	"65"	0.947368421052632	0.894736842105263
"4744"	"AGly.AadA5"	5.5	66.5	"Negative"	"infection_patient-kleborate_lr"	"65"	0.0723684210526316	0.875
"4745"	"lung_dzyes"	39	3	"Negative"	"infection_patient-kleborate_lr"	"65"	0.513157894736842	0.0394736842105263
"4746"	"decubyes"	71	65	"Positive"	"infection_patient-kleborate_lr"	"65"	0.934210526315789	0.855263157894737
"4747"	"Tmt.DfrA14"	22	31	"Negative"	"infection_patient-kleborate_lr"	"65"	0.289473684210526	0.407894736842105
"4748"	"zosyn30yes"	53	32	"Positive"	"infection_patient-kleborate_lr"	"65"	0.697368421052632	0.421052631578947
"4749"	"Sul.SulIII"	40	2	"Negative"	"infection_patient-kleborate_lr"	"65"	0.526315789473684	0.0263157894736842
"4750"	"Flq.GyrA.87Y"	19	38	"Negative"	"infection_patient-kleborate_lr"	"65"	0.25	0.5
"4751"	"brain_injuryyes"	43	9	"Positive"	"infection_patient-kleborate_lr"	"65"	0.565789473684211	0.118421052631579
"4752"	"pseudoPCN30yes"	38	4	"Negative"	"infection_patient-kleborate_lr"	"65"	0.5	0.0526315789473684
"4753"	"carbapenem30yes"	14	47	"Negative"	"infection_patient-kleborate_lr"	"65"	0.184210526315789	0.618421052631579
"4754"	"Bla.OXA.9"	25	27	"Negative"	"infection_patient-kleborate_lr"	"65"	0.328947368421053	0.355263157894737
"4755"	"K_locusKL107"	46	13	"Positive"	"infection_patient-kleborate_lr"	"65"	0.605263157894737	0.171052631578947
"4756"	"meropenem30yes"	26	26	"Negative"	"infection_patient-kleborate_lr"	"65"	0.342105263157895	0.342105263157895
"4757"	"Bla_CarbKPC.2"	30	20	"Negative"	"infection_patient-kleborate_lr"	"65"	0.394736842105263	0.263157894736842
"4758"	"Bla_broadSHV.11"	31	19	"Negative"	"infection_patient-kleborate_lr"	"65"	0.407894736842105	0.25
"4759"	"colistin30yes"	9	57	"Negative"	"infection_patient-kleborate_lr"	"65"	0.118421052631579	0.75
"4760"	"Sul.SulII"	36	7	"Negative"	"infection_patient-kleborate_lr"	"65"	0.473684210526316	0.0921052631578947
"4761"	"Yersiniabactin._ICEKp10"	67.5	60.5	"Positive"	"infection_patient-kleborate_lr"	"65"	0.888157894736842	0.796052631578947
"4762"	"Bla_broad_inhR.TEM.54"	60	44	"Positive"	"infection_patient-kleborate_lr"	"65"	0.789473684210526	0.578947368421053
"4763"	"AKIyes"	65	56	"Positive"	"infection_patient-kleborate_lr"	"65"	0.855263157894737	0.736842105263158
"4764"	"AGly.StrB"	15.5	45.5	"Negative"	"infection_patient-kleborate_lr"	"65"	0.203947368421053	0.598684210526316
"4765"	"malignancyyes"	13	48	"Negative"	"infection_patient-kleborate_lr"	"65"	0.171052631578947	0.631578947368421
"4766"	"poly_colistin30yes"	59	43	"Positive"	"infection_patient-kleborate_lr"	"65"	0.776315789473684	0.565789473684211
"4767"	"linezolid30yes"	51	24	"Positive"	"infection_patient-kleborate_lr"	"65"	0.671052631578947	0.315789473684211
"4768"	"obeseyes"	4	69	"Negative"	"infection_patient-kleborate_lr"	"65"	0.0526315789473684	0.907894736842105
"4769"	"ColMgrB.trunc"	10	55	"Negative"	"infection_patient-kleborate_lr"	"65"	0.131578947368421	0.723684210526316
"4770"	"cefepime30yes"	21	33	"Negative"	"infection_patient-kleborate_lr"	"65"	0.276315789473684	0.434210526315789
"4771"	"central_lineyes"	76	75	"Positive"	"infection_patient-kleborate_lr"	"65"	1	0.986842105263158
"4772"	"trachyes"	1	76	"Negative"	"infection_patient-kleborate_lr"	"65"	0.0131578947368421	1
"4773"	"AGly.Aph4.Ia"	63.5	52.5	"Positive"	"infection_patient-kleborate_lr"	"65"	0.835526315789474	0.690789473684211
"4774"	"TetTetA"	17	40	"Negative"	"infection_patient-kleborate_lr"	"65"	0.223684210526316	0.526315789473684
"4775"	"AGly.AadA2"	3	71	"Negative"	"infection_patient-kleborate_lr"	"65"	0.0394736842105263	0.934210526315789
"4776"	"gastroyes"	73	70	"Positive"	"infection_patient-kleborate_lr"	"65"	0.960526315789474	0.921052631578947
"4777"	"AGly.Aph3.Ia"	48	17	"Positive"	"infection_patient-kleborate_lr"	"65"	0.631578947368421	0.223684210526316
"4778"	"virulence_score"	33	15	"Negative"	"infection_patient-kleborate_lr"	"65"	0.434210526315789	0.197368421052632
"4779"	"tigecycline30yes"	75	74	"Positive"	"infection_patient-kleborate_lr"	"65"	0.986842105263158	0.973684210526316
"4780"	"flagyl30yes"	8	59	"Negative"	"infection_patient-kleborate_lr"	"65"	0.105263157894737	0.776315789473684
"4781"	"LOSbeforeCx"	61	49	"Positive"	"infection_patient-kleborate_lr"	"65"	0.802631578947368	0.644736842105263
"4782"	"Flq.GyrA.87N"	69	62	"Positive"	"infection_patient-kleborate_lr"	"65"	0.907894736842105	0.815789473684211
"4783"	"amikacin30yes"	62	50	"Positive"	"infection_patient-kleborate_lr"	"65"	0.815789473684211	0.657894736842105
"4784"	"CHFyes"	12	51	"Negative"	"infection_patient-kleborate_lr"	"65"	0.157894736842105	0.671052631578947
"4785"	"CKDyes"	66	58	"Positive"	"infection_patient-kleborate_lr"	"65"	0.868421052631579	0.763157894736842
"4786"	"Tmt.DfrA12"	42	5	"Positive"	"infection_patient-kleborate_lr"	"65"	0.552631578947368	0.0657894736842105
"4787"	"num_resistance_classes"	20	36	"Negative"	"infection_patient-kleborate_lr"	"65"	0.263157894736842	0.473684210526316
"4788"	"Bla_CarbKPC.3"	7	63	"Negative"	"infection_patient-kleborate_lr"	"65"	0.0921052631578947	0.828947368421053
"4789"	"Bias"	45	11	"Positive"	"infection_patient-kleborate_lr"	"65"	0.592105263157895	0.144736842105263
"4790"	"Tmt.DfrA12"	19	36	"Negative"	"infection_patient-kleborate_lr"	"66"	0.25	0.473684210526316
"4791"	"meropenem30yes"	37	3	"Negative"	"infection_patient-kleborate_lr"	"66"	0.486842105263158	0.0394736842105263
"4792"	"zosyn30yes"	49	21	"Positive"	"infection_patient-kleborate_lr"	"66"	0.644736842105263	0.276315789473684
"4793"	"wziwzi29"	44	10	"Positive"	"infection_patient-kleborate_lr"	"66"	0.578947368421053	0.131578947368421
"4794"	"K_locusKL107"	51	23	"Positive"	"infection_patient-kleborate_lr"	"66"	0.671052631578947	0.302631578947368
"4795"	"malignancyyes"	5	64	"Negative"	"infection_patient-kleborate_lr"	"66"	0.0657894736842105	0.842105263157895
"4796"	"LOSbeforeCx"	55	37	"Positive"	"infection_patient-kleborate_lr"	"66"	0.723684210526316	0.486842105263158
"4797"	"virulence_score"	48	16	"Positive"	"infection_patient-kleborate_lr"	"66"	0.631578947368421	0.210526315789474
"4798"	"lung_dzyes"	45	13	"Positive"	"infection_patient-kleborate_lr"	"66"	0.592105263157895	0.171052631578947
"4799"	"num_resistance_classes"	18	38	"Negative"	"infection_patient-kleborate_lr"	"66"	0.236842105263158	0.5
"4800"	"AGly.StrB"	8.5	52.5	"Negative"	"infection_patient-kleborate_lr"	"66"	0.111842105263158	0.690789473684211
"4801"	"AGly.Aph4.Ia"	27.5	24.5	"Negative"	"infection_patient-kleborate_lr"	"66"	0.361842105263158	0.322368421052632
"4802"	"Flq.GyrA.87Y"	40	5	"Positive"	"infection_patient-kleborate_lr"	"66"	0.526315789473684	0.0657894736842105
"4803"	"tobra30yes"	31	18	"Negative"	"infection_patient-kleborate_lr"	"66"	0.407894736842105	0.236842105263158
"4804"	"cefepime30yes"	13	44	"Negative"	"infection_patient-kleborate_lr"	"66"	0.171052631578947	0.578947368421053
"4805"	"AGly.Aac3.Iva"	27.5	24.5	"Negative"	"infection_patient-kleborate_lr"	"66"	0.361842105263158	0.322368421052632
"4806"	"Sul.SulIII"	16	41	"Negative"	"infection_patient-kleborate_lr"	"66"	0.210526315789474	0.539473684210526
"4807"	"Sul.SulII"	22	33	"Negative"	"infection_patient-kleborate_lr"	"66"	0.289473684210526	0.434210526315789
"4808"	"Bla_CarbKPC.2"	66	61	"Positive"	"infection_patient-kleborate_lr"	"66"	0.868421052631579	0.802631578947368
"4809"	"num_resistance_genes"	15	42	"Negative"	"infection_patient-kleborate_lr"	"66"	0.197368421052632	0.552631578947368
"4810"	"amikacin30yes"	73	71	"Positive"	"infection_patient-kleborate_lr"	"66"	0.960526315789474	0.934210526315789
"4811"	"pseudoPCN30yes"	10	50	"Negative"	"infection_patient-kleborate_lr"	"66"	0.131578947368421	0.657894736842105
"4812"	"wziwzi154"	46	14	"Positive"	"infection_patient-kleborate_lr"	"66"	0.605263157894737	0.184210526315789
"4813"	"underweightyes"	26	27	"Negative"	"infection_patient-kleborate_lr"	"66"	0.342105263157895	0.355263157894737
"4814"	"levo30yes"	25	30	"Negative"	"infection_patient-kleborate_lr"	"66"	0.328947368421053	0.394736842105263
"4815"	"vanco30yes"	60	51	"Positive"	"infection_patient-kleborate_lr"	"66"	0.789473684210526	0.671052631578947
"4816"	"ColMgrB.trunc"	52	26	"Positive"	"infection_patient-kleborate_lr"	"66"	0.684210526315789	0.342105263157895
"4817"	"trachyes"	1	76	"Negative"	"infection_patient-kleborate_lr"	"66"	0.0131578947368421	1
"4818"	"O_locus_missing_genes.O1.O2v2_07_kfoC"	74	73	"Positive"	"infection_patient-kleborate_lr"	"66"	0.973684210526316	0.960526315789474
"4819"	"poly_colistin30yes"	59	49	"Positive"	"infection_patient-kleborate_lr"	"66"	0.776315789473684	0.644736842105263
"4820"	"Yersiniabactin.ybt_17"	42	8	"Positive"	"infection_patient-kleborate_lr"	"66"	0.552631578947368	0.105263157894737
"4821"	"obeseyes"	3	69	"Negative"	"infection_patient-kleborate_lr"	"66"	0.0394736842105263	0.907894736842105
"4822"	"gastroyes"	72	70	"Positive"	"infection_patient-kleborate_lr"	"66"	0.947368421052632	0.921052631578947
"4823"	"CKDyes"	58	48	"Positive"	"infection_patient-kleborate_lr"	"66"	0.763157894736842	0.631578947368421
"4824"	"VDRFyes"	63	57	"Positive"	"infection_patient-kleborate_lr"	"66"	0.828947368421053	0.75
"4825"	"AGly.AadA1.pm"	32	17	"Negative"	"infection_patient-kleborate_lr"	"66"	0.421052631578947	0.223684210526316
"4826"	"MLS.MphA"	24	31	"Negative"	"infection_patient-kleborate_lr"	"66"	0.315789473684211	0.407894736842105
"4827"	"ctx30yes"	71	67	"Positive"	"infection_patient-kleborate_lr"	"66"	0.934210526315789	0.881578947368421
"4828"	"brain_injuryyes"	62	56	"Positive"	"infection_patient-kleborate_lr"	"66"	0.815789473684211	0.736842105263158
"4829"	"Tmt.DfrA14"	30	19	"Negative"	"infection_patient-kleborate_lr"	"66"	0.394736842105263	0.25
"4830"	"Yersiniabactin.ybt_0"	68	63	"Positive"	"infection_patient-kleborate_lr"	"66"	0.894736842105263	0.828947368421053
"4831"	"AKIyes"	57	47	"Positive"	"infection_patient-kleborate_lr"	"66"	0.75	0.618421052631579
"4832"	"Bla.OXA.9"	29	20	"Negative"	"infection_patient-kleborate_lr"	"66"	0.381578947368421	0.263157894736842
"4833"	"flagyl30yes"	50	22	"Positive"	"infection_patient-kleborate_lr"	"66"	0.657894736842105	0.289473684210526
"4834"	"TetTetA"	4	68	"Negative"	"infection_patient-kleborate_lr"	"66"	0.0526315789473684	0.894736842105263
"4835"	"foleyyes"	67	62	"Positive"	"infection_patient-kleborate_lr"	"66"	0.881578947368421	0.815789473684211
"4836"	"CHFyes"	34	11	"Negative"	"infection_patient-kleborate_lr"	"66"	0.447368421052632	0.144736842105263
"4837"	"Colibactinclb.3"	65	59	"Positive"	"infection_patient-kleborate_lr"	"66"	0.855263157894737	0.776315789473684
"4838"	"anti_pseudo30yes"	17	39	"Negative"	"infection_patient-kleborate_lr"	"66"	0.223684210526316	0.513157894736842
"4839"	"Bla_broad_inhR.TEM.54"	54	29	"Positive"	"infection_patient-kleborate_lr"	"66"	0.710526315789474	0.381578947368421
"4840"	"AGly.AadA5"	20.5	34.5	"Negative"	"infection_patient-kleborate_lr"	"66"	0.269736842105263	0.453947368421053
"4841"	"Yersiniabactin._ICEKp10"	69	65	"Positive"	"infection_patient-kleborate_lr"	"66"	0.907894736842105	0.855263157894737
"4842"	"linezolid30yes"	56	40	"Positive"	"infection_patient-kleborate_lr"	"66"	0.736842105263158	0.526315789473684
"4843"	"Bla_CarbKPC.3"	6	60	"Negative"	"infection_patient-kleborate_lr"	"66"	0.0789473684210526	0.789473684210526
"4844"	"AGly.StrA"	8.5	52.5	"Negative"	"infection_patient-kleborate_lr"	"66"	0.111842105263158	0.690789473684211
"4845"	"Phe.CatA1"	14	43	"Negative"	"infection_patient-kleborate_lr"	"66"	0.184210526315789	0.565789473684211
"4846"	"age"	7	55	"Negative"	"infection_patient-kleborate_lr"	"66"	0.0921052631578947	0.723684210526316
"4847"	"decubyes"	61	54	"Positive"	"infection_patient-kleborate_lr"	"66"	0.802631578947368	0.710526315789474
"4848"	"carbapenem30yes"	47	15	"Positive"	"infection_patient-kleborate_lr"	"66"	0.618421052631579	0.197368421052632
"4849"	"AGly.Aph3.Ia"	35	7	"Negative"	"infection_patient-kleborate_lr"	"66"	0.460526315789474	0.0921052631578947
"4850"	"resistance_score"	43	9	"Positive"	"infection_patient-kleborate_lr"	"66"	0.565789473684211	0.118421052631579
"4851"	"FQ30yes"	11	46	"Negative"	"infection_patient-kleborate_lr"	"66"	0.144736842105263	0.605263157894737
"4852"	"colistin30yes"	12	45	"Negative"	"infection_patient-kleborate_lr"	"66"	0.157894736842105	0.592105263157895
"4853"	"resp_failureyes"	36	4	"Negative"	"infection_patient-kleborate_lr"	"66"	0.473684210526316	0.0526315789473684
"4854"	"central_lineyes"	75	74	"Positive"	"infection_patient-kleborate_lr"	"66"	0.986842105263158	0.973684210526316
"4855"	"AGly.AadA2"	33	12	"Negative"	"infection_patient-kleborate_lr"	"66"	0.434210526315789	0.157894736842105
"4856"	"third_gen_ceph30yes"	39	1	"Positive"	"infection_patient-kleborate_lr"	"66"	0.513157894736842	0.0131578947368421
"4857"	"sexmale"	23	32	"Negative"	"infection_patient-kleborate_lr"	"66"	0.302631578947368	0.421052631578947
"4858"	"Tmt.DfrA17"	20.5	34.5	"Negative"	"infection_patient-kleborate_lr"	"66"	0.269736842105263	0.453947368421053
"4859"	"Bla.SHV.187"	64	58	"Positive"	"infection_patient-kleborate_lr"	"66"	0.842105263157895	0.763157894736842
"4860"	"Bla_broadSHV.11"	2	72	"Negative"	"infection_patient-kleborate_lr"	"66"	0.0263157894736842	0.947368421052632
"4861"	"tigecycline30yes"	76	75	"Positive"	"infection_patient-kleborate_lr"	"66"	1	0.986842105263158
"4862"	"Flq.GyrA.87N"	53	28	"Positive"	"infection_patient-kleborate_lr"	"66"	0.697368421052632	0.368421052631579
"4863"	"Sul.SulI"	41	6	"Positive"	"infection_patient-kleborate_lr"	"66"	0.539473684210526	0.0789473684210526
"4864"	"AG30yes"	70	66	"Positive"	"infection_patient-kleborate_lr"	"66"	0.921052631578947	0.868421052631579
"4865"	"Bias"	38	2	"Negative"	"infection_patient-kleborate_lr"	"66"	0.5	0.0263157894736842
"4866"	"Yersiniabactin._ICEKp10"	69.5	63.5	"Positive"	"infection_patient-kleborate_lr"	"67"	0.914473684210526	0.835526315789474
"4867"	"Bla.OXA.9"	26	29	"Negative"	"infection_patient-kleborate_lr"	"67"	0.342105263157895	0.381578947368421
"4868"	"third_gen_ceph30yes"	50	20	"Positive"	"infection_patient-kleborate_lr"	"67"	0.657894736842105	0.263157894736842
"4869"	"Colibactinclb.3"	69.5	63.5	"Positive"	"infection_patient-kleborate_lr"	"67"	0.914473684210526	0.835526315789474
"4870"	"AGly.Aph4.Ia"	51.5	22.5	"Positive"	"infection_patient-kleborate_lr"	"67"	0.677631578947368	0.296052631578947
"4871"	"Bla_CarbKPC.2"	65	56	"Positive"	"infection_patient-kleborate_lr"	"67"	0.855263157894737	0.736842105263158
"4872"	"poly_colistin30yes"	62	49	"Positive"	"infection_patient-kleborate_lr"	"67"	0.815789473684211	0.644736842105263
"4873"	"LOSbeforeCx"	63	53	"Positive"	"infection_patient-kleborate_lr"	"67"	0.828947368421053	0.697368421052632
"4874"	"levo30yes"	28	25	"Negative"	"infection_patient-kleborate_lr"	"67"	0.368421052631579	0.328947368421053
"4875"	"trachyes"	1	76	"Negative"	"infection_patient-kleborate_lr"	"67"	0.0131578947368421	1
"4876"	"tigecycline30yes"	75	74	"Positive"	"infection_patient-kleborate_lr"	"67"	0.986842105263158	0.973684210526316
"4877"	"Phe.CatA1"	9	58	"Negative"	"infection_patient-kleborate_lr"	"67"	0.118421052631579	0.763157894736842
"4878"	"K_locusKL107"	55	30	"Positive"	"infection_patient-kleborate_lr"	"67"	0.723684210526316	0.394736842105263
"4879"	"Sul.SulII"	42	7	"Positive"	"infection_patient-kleborate_lr"	"67"	0.552631578947368	0.0921052631578947
"4880"	"sexmale"	44	11	"Positive"	"infection_patient-kleborate_lr"	"67"	0.578947368421053	0.144736842105263
"4881"	"virulence_score"	32	16	"Negative"	"infection_patient-kleborate_lr"	"67"	0.421052631578947	0.210526315789474
"4882"	"Tmt.DfrA14"	12	51	"Negative"	"infection_patient-kleborate_lr"	"67"	0.157894736842105	0.671052631578947
"4883"	"AGly.StrA"	17.5	43.5	"Negative"	"infection_patient-kleborate_lr"	"67"	0.230263157894737	0.572368421052632
"4884"	"Sul.SulI"	41	6	"Positive"	"infection_patient-kleborate_lr"	"67"	0.539473684210526	0.0789473684210526
"4885"	"ctx30yes"	67	60	"Positive"	"infection_patient-kleborate_lr"	"67"	0.881578947368421	0.789473684210526
"4886"	"resistance_score"	47	15	"Positive"	"infection_patient-kleborate_lr"	"67"	0.618421052631579	0.197368421052632
"4887"	"Bla_broadSHV.11"	4	68	"Negative"	"infection_patient-kleborate_lr"	"67"	0.0526315789473684	0.894736842105263
"4888"	"FQ30yes"	34	10	"Negative"	"infection_patient-kleborate_lr"	"67"	0.447368421052632	0.131578947368421
"4889"	"CKDyes"	66	57	"Positive"	"infection_patient-kleborate_lr"	"67"	0.868421052631579	0.75
"4890"	"vanco30yes"	56	34	"Positive"	"infection_patient-kleborate_lr"	"67"	0.736842105263158	0.447368421052632
"4891"	"AKIyes"	58	37	"Positive"	"infection_patient-kleborate_lr"	"67"	0.763157894736842	0.486842105263158
"4892"	"amikacin30yes"	53	26	"Positive"	"infection_patient-kleborate_lr"	"67"	0.697368421052632	0.342105263157895
"4893"	"malignancyyes"	20	40	"Negative"	"infection_patient-kleborate_lr"	"67"	0.263157894736842	0.526315789473684
"4894"	"foleyyes"	71	67	"Positive"	"infection_patient-kleborate_lr"	"67"	0.934210526315789	0.881578947368421
"4895"	"MLS.MphA"	25	31	"Negative"	"infection_patient-kleborate_lr"	"67"	0.328947368421053	0.407894736842105
"4896"	"obeseyes"	7	61	"Negative"	"infection_patient-kleborate_lr"	"67"	0.0921052631578947	0.802631578947368
"4897"	"gastroyes"	60	41	"Positive"	"infection_patient-kleborate_lr"	"67"	0.789473684210526	0.539473684210526
"4898"	"lung_dzyes"	57	36	"Positive"	"infection_patient-kleborate_lr"	"67"	0.75	0.473684210526316
"4899"	"brain_injuryyes"	49	19	"Positive"	"infection_patient-kleborate_lr"	"67"	0.644736842105263	0.25
"4900"	"central_lineyes"	74	73	"Positive"	"infection_patient-kleborate_lr"	"67"	0.973684210526316	0.960526315789474
"4901"	"Yersiniabactin.ybt_0"	68	62	"Positive"	"infection_patient-kleborate_lr"	"67"	0.894736842105263	0.815789473684211
"4902"	"Bla_CarbKPC.3"	10	55	"Negative"	"infection_patient-kleborate_lr"	"67"	0.131578947368421	0.723684210526316
"4903"	"colistin30yes"	22	35	"Negative"	"infection_patient-kleborate_lr"	"67"	0.289473684210526	0.460526315789474
"4904"	"num_resistance_classes"	15	47	"Negative"	"infection_patient-kleborate_lr"	"67"	0.197368421052632	0.618421052631579
"4905"	"num_resistance_genes"	21	38	"Negative"	"infection_patient-kleborate_lr"	"67"	0.276315789473684	0.5
"4906"	"flagyl30yes"	11	52	"Negative"	"infection_patient-kleborate_lr"	"67"	0.144736842105263	0.684210526315789
"4907"	"anti_pseudo30yes"	45	12	"Positive"	"infection_patient-kleborate_lr"	"67"	0.592105263157895	0.157894736842105
"4908"	"Bla.SHV.187"	39	4	"Positive"	"infection_patient-kleborate_lr"	"67"	0.513157894736842	0.0526315789473684
"4909"	"Tmt.DfrA12"	35	9	"Negative"	"infection_patient-kleborate_lr"	"67"	0.460526315789474	0.118421052631579
"4910"	"tobra30yes"	13	50	"Negative"	"infection_patient-kleborate_lr"	"67"	0.171052631578947	0.657894736842105
"4911"	"AGly.AadA1.pm"	19	42	"Negative"	"infection_patient-kleborate_lr"	"67"	0.25	0.552631578947368
"4912"	"Flq.GyrA.87Y"	64	54	"Positive"	"infection_patient-kleborate_lr"	"67"	0.842105263157895	0.710526315789474
"4913"	"AGly.AadA5"	2.5	70.5	"Negative"	"infection_patient-kleborate_lr"	"67"	0.0328947368421053	0.927631578947368
"4914"	"O_locus_missing_genes.O1.O2v2_07_kfoC"	76	75	"Positive"	"infection_patient-kleborate_lr"	"67"	1	0.986842105263158
"4915"	"Yersiniabactin.ybt_17"	36	1	"Positive"	"infection_patient-kleborate_lr"	"67"	0.473684210526316	0.0131578947368421
"4916"	"AG30yes"	73	72	"Positive"	"infection_patient-kleborate_lr"	"67"	0.960526315789474	0.947368421052632
"4917"	"AGly.Aph3.Ia"	33	13	"Negative"	"infection_patient-kleborate_lr"	"67"	0.434210526315789	0.171052631578947
"4918"	"meropenem30yes"	16	46	"Negative"	"infection_patient-kleborate_lr"	"67"	0.210526315789474	0.605263157894737
"4919"	"AGly.AadA2"	23	33	"Negative"	"infection_patient-kleborate_lr"	"67"	0.302631578947368	0.434210526315789
"4920"	"underweightyes"	48	18	"Positive"	"infection_patient-kleborate_lr"	"67"	0.631578947368421	0.236842105263158
"4921"	"AGly.Aac3.Iva"	51.5	22.5	"Positive"	"infection_patient-kleborate_lr"	"67"	0.677631578947368	0.296052631578947
"4922"	"Bla_broad_inhR.TEM.54"	61	45	"Positive"	"infection_patient-kleborate_lr"	"67"	0.802631578947368	0.592105263157895
"4923"	"pseudoPCN30yes"	14	48	"Negative"	"infection_patient-kleborate_lr"	"67"	0.184210526315789	0.631578947368421
"4924"	"TetTetA"	6	65	"Negative"	"infection_patient-kleborate_lr"	"67"	0.0789473684210526	0.855263157894737
"4925"	"zosyn30yes"	38	3	"Positive"	"infection_patient-kleborate_lr"	"67"	0.5	0.0394736842105263
"4926"	"carbapenem30yes"	27	27	"Negative"	"infection_patient-kleborate_lr"	"67"	0.355263157894737	0.355263157894737
"4927"	"wziwzi29"	54	28	"Positive"	"infection_patient-kleborate_lr"	"67"	0.710526315789474	0.368421052631579
"4928"	"Tmt.DfrA17"	2.5	70.5	"Negative"	"infection_patient-kleborate_lr"	"67"	0.0328947368421053	0.927631578947368
"4929"	"Flq.GyrA.87N"	72	69	"Positive"	"infection_patient-kleborate_lr"	"67"	0.947368421052632	0.907894736842105
"4930"	"age"	5	66	"Negative"	"infection_patient-kleborate_lr"	"67"	0.0657894736842105	0.868421052631579
"4931"	"decubyes"	59	39	"Positive"	"infection_patient-kleborate_lr"	"67"	0.776315789473684	0.513157894736842
"4932"	"ColMgrB.trunc"	30	21	"Negative"	"infection_patient-kleborate_lr"	"67"	0.394736842105263	0.276315789473684
"4933"	"cefepime30yes"	40	5	"Positive"	"infection_patient-kleborate_lr"	"67"	0.526315789473684	0.0657894736842105
"4934"	"wziwzi154"	37	2	"Positive"	"infection_patient-kleborate_lr"	"67"	0.486842105263158	0.0263157894736842
"4935"	"AGly.StrB"	17.5	43.5	"Negative"	"infection_patient-kleborate_lr"	"67"	0.230263157894737	0.572368421052632
"4936"	"CHFyes"	8	59	"Negative"	"infection_patient-kleborate_lr"	"67"	0.105263157894737	0.776315789473684
"4937"	"Sul.SulIII"	24	32	"Negative"	"infection_patient-kleborate_lr"	"67"	0.315789473684211	0.421052631578947
"4938"	"resp_failureyes"	29	24	"Negative"	"infection_patient-kleborate_lr"	"67"	0.381578947368421	0.315789473684211
